gene	test_score	p_value	P_FDR
AADAT	7.70356455495138	0.000184272937494012	0.0113547939621816
ABT1	6.07087776906907	0.000911482800481589	0.0337536939740384
ACAD10	7.53846244164924	0.000332497505566853	0.0164840782890147
ACBD4	17.6039417028867	5.16048459520135e-09	2.24407358682756e-06
ACOT2	11.7529770296358	2.51295583830746e-06	0.000394300905763295
ACSF2	7.28719688935409	0.000712032690503461	0.0286141463382172
ACY1	7.07499518563755	0.000895177638001843	0.033311989365252
ADAM11	13.5261661916935	9.79223676922381e-07	0.00018517503022779
ADAMTSL4	224.215541091552	8.9331875230414e-12	1.14762828869649e-08
ADD2	6.25011018699844	0.00152316408918107	0.0476774849286529
ADH5	6.68597712449459	0.00152901399901018	0.0476774849286529
ADM5	7.70289263998023	0.000503807310009652	0.0222259340821649
AFF1	8.37969382335265	0.00010433607172966	0.00745537564190343
AFF3	6.43745248239619	0.000732304309834508	0.0291771507740346
AGAP2-AS1	10.4007755140163	1.72227779114964e-05	0.00175117056672066
ALDH2	8.52748115476064	9.75129279007225e-05	0.0070673655364238
ALKBH5	6.53074079656392	0.000383482980753302	0.0185879330161314
ALS2	7.60619968327869	0.000192977800651084	0.0116552465313869
ALS2CR12	5.70787316953653	0.000947846379571682	0.0345124925767488
AMZ1	6.58044868557508	0.00159810738782507	0.0492522594377965
ANKDD1B	11.4238120017872	4.27982654238601e-06	0.00058159785692067
ANKRD11	8.29364491888415	0.000130011976829603	0.00889458794640579
ANKRD29	7.72077859892123	0.000347031118706376	0.0171487455412696
ANKRD45	7.95207350935204	0.000364930023378118	0.0178020351147915
ANP32E	22.3696990897589	1.41097689088099e-10	8.25964164584948e-08
APH1A	9.66109003044916	5.92211483906313e-05	0.00464611277580107
ARHGAP27	25.7604788454066	2.49944509533861e-12	6.34025905850895e-09
ARHGAP9	28.3805809931856	1.90070181815827e-13	9.64289389078961e-10
ARHGEF16	7.95155299947726	0.00019770540514652	0.0118935820803559
ARHGEF2	7.84925837794686	0.000488053809545752	0.0218250870674875
ARHGEF25	18.0295305309878	3.77094522274746e-09	1.68805253794754e-06
ARL17A	18.249503799126	2.67711319779096e-09	1.23471705667813e-06
ARL17B	8.47607066827238	5.89205135822501e-05	0.00464611277580107
ARNT	14.2269359905884	2.45525841657823e-07	5.74908201543395e-05
ARPC5L	6.74058466644581	0.000478820694215565	0.0216250770503291
ASTN1	10.7666590188706	1.72489557767053e-05	0.00175117056672066
ASXL1	8.69176399915213	0.000105576894755766	0.00747386203805931
ATG13	6.2891197714785	0.0010336966408776	0.0368451121174639
ATP5B	221.564490733853	2.18279838648527e-11	1.99251739798869e-08
ATPAF2	8.61715224797973	0.000104152264056245	0.00745537564190343
BAZ2A	6.64179771973927	0.000481974925519157	0.0217031312615431
BBS4	6.22903142733525	0.0011314985306341	0.0392555112877362
BCAR1	21.001314211011	4.70706029709334e-10	2.47039509385381e-07
BLK	7.48385013526594	0.000409653491691309	0.0193682057271484
BLOC1S6	7.90896154514202	0.000432359612709377	0.0201285834804226
BOLA1	12.809235181716	2.70064426755035e-06	0.000416414429546894
BRAP	12.2075932372551	3.32701123217927e-06	0.000490749870468752
BTBD16	12.9605457235576	9.0753875936489e-07	0.000174844809082704
BTN2A1	9.74353737076985	2.26718551332716e-05	0.00217022412030437
BTN3A1	7.97167897884181	0.000157332865596604	0.0101466365016115
BTN3A2	15.4995805900179	2.52195989647319e-08	8.16685736687702e-06
BUB3	8.02733675395861	0.000302162316066057	0.0153877768698274
C12orf57	7.34536482273258	0.0001827519264751	0.0113068468331342
C14orf23	5.74276840806066	0.000979549485051523	0.0352452557032723
C16orf86	8.04361636270819	0.000255416692992783	0.01383431340694
C1orf123	5.96581280609216	0.000713264079444387	0.0286141463382172
C1orf162	8.151694742709	0.000238870774876387	0.0132359991914211
C1orf54	25.4280764527678	5.56565904474837e-12	1.14762828869649e-08
C1orf85	7.0824265535089	0.000404694834967745	0.0193682057271484
C20orf112	8.28191212227681	0.000100133589495566	0.00722290631337683
C6orf10	-3.41961857412646	0.000627089959805999	0.0259998249380078
C6orf100	8.26065048440716	0.000138000673972516	0.00921215025377935
C6orf15	7.86794837276439	0.000331350072532266	0.0164840782890147
C7orf55-LUC7L2	5.16817372203307	0.00103798890031193	0.0369116613615596
CA14	17.8424783796774	1.76996201028956e-08	6.26484227828072e-06
CAD	8.92323612640924	5.20017926912697e-05	0.00429940685370074
CADM2	7.7447835632878	0.000239152416402155	0.0132359991914211
CAPZA1	5.64836619107669	0.00151773140960954	0.0476774849286529
CASC5	7.49878478142521	0.000622185052514324	0.0259442643815562
CASP8	7.3194632430136	0.000462898754599039	0.0211351540480053
CBFA2T3	10.5102081515823	1.32006320177069e-05	0.00139947408638871
CCDC134	8.82652871539617	6.1001582914888e-05	0.00474075518907692
CCDC27	7.17031091822239	0.000739944404109849	0.0293280047670622
CCDC3	14.5781877427966	3.31794834163013e-07	7.65138996357736e-05
CCDC30	8.16562975066866	0.000259038390846067	0.0139313226455023
CCDC79	6.12753743418417	0.000331432268298015	0.0164840782890147
CD300LG	8.6558772506606	0.000109320085383668	0.00756296227063379
CD6	4.57146553120826	0.0015287367571124	0.0476774849286529
CDC42SE1	10.5302664172959	1.22815451105707e-05	0.00137210748761592
CDH16	12.0173654868644	5.6993766807123e-06	0.000747797526555527
CEACAM5	7.84184640809161	0.000448450261609001	0.0207745712779461
CENPA	8.86617134182947	0.000159348359436318	0.0102332575131677
CEP104	7.653530396485	0.000210842224296237	0.0122481628007203
CEP128	6.29297826604251	0.00129316969602944	0.0429928979528046
CEP170	8.80646361404077	8.41162680469409e-05	0.00623352501780502
CFDP1	11.4902260942158	2.90510494149743e-06	0.000433487227545008
CHST4	7.50449321645522	0.000612321689456019	0.0256031211909907
CHTOP	7.72563600428841	0.000888309887095984	0.0332188611341545
CISD2	6.91239230412062	0.000303190357653249	0.0153877768698274
CLEC16A	8.60152584370012	0.000153217429863406	0.0100084518563135
CLTC	6.8325672449141	0.00121818699566834	0.0412935547306728
CNFN	5.60913511973897	0.000763491121904991	0.0297957304497281
CNOT6	16.9690313508907	0.00036053031552119	0.0177008754910726
CNPY2	24.6514355857974	1.19698695399961e-11	1.40139549537493e-08
COA5	10.41403003924	1.74936269718984e-05	0.00175166449021246
COMMD7	5.74030868648542	0.000876839384819639	0.0328706784161451
COQ10A	25.5753895150172	8.28603852198739e-12	1.14762828869649e-08
COX11	8.29743618579008	7.81404052484502e-05	0.00585860575311041
COX4I2	6.95928722749802	0.000398434236719258	0.0191904084900858
CPNE7	9.65003049090092	2.98611849106623e-05	0.00272148044515137
CPS1	6.89792605640105	0.000759719529348724	0.0297247589632071
CPT2	6.52013760809206	0.00121377620899787	0.0412358792431867
CRHR1	18.6628338136159	5.95294180616435e-09	2.51677150805059e-06
